"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"204","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"205","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"206","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"207","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"208","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"209","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"210","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"211","Anthony Firkser (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Robert Tonyan (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Albert Okwuegbunam Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Andrew Beck (NYJ)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"217","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Darren Waller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.7%"
"219","C.J. Uzomah (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"220","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0",""
"221","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0",""
"222","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"223","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"224","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0",""
"225","Gunnar Oakes (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
